task_name,fail_count,success_count
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,1,9
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,2,8
pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,4,6
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,1,9
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,2,8
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,3,7
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,1,9
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,6,4
pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,2,8
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,4,6
